"AREA","INDICADOR","REGIAO","COD_IBGE","MICROREGIAO","2019"
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303569,"Rio Preto da Eva",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303601,"Santa Isabel do Rio Negro",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303700,"Santo Antônio do Içá",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303809,"São Gabriel da Cachoeira",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303908,"São Paulo de Olivença",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1303957,"São Sebastião do Uatumã",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304005,"Silves",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304062,"Tabatinga",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304104,"Tapauá",4
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304203,"Tefé",3
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304237,"Tonantins",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304260,"Uarini",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304302,"Urucará",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Amazonas",1304401,"Urucurituba",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400027,"Amajari",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400050,"Alto Alegre",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400100,"Boa Vista",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400159,"Bonfim",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400175,"Cantá",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400209,"Caracaraí",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400233,"Caroebe",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400282,"Iracema",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400308,"Mucajaí",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400407,"Normandia",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400456,"Pacaraima",3
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400472,"Rorainópolis",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400506,"São João da Baliza",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Roraima",1400704,"Uiramutã",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500107,"Abaetetuba",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500131,"Abel Figueiredo",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500206,"Acará",2.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500347,"Água Azul do Norte",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500404,"Alenquer",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500503,"Almeirim",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500602,"Altamira",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500800,"Ananindeua",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500859,"Anapu",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500909,"Augusto Corrêa",2.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1500958,"Aurora do Pará",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501105,"Bagre",2.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501204,"Baião",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501303,"Barcarena",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501402,"Belém",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501451,"Belterra",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501501,"Benevides",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501576,"Bom Jesus do Tocantins",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501600,"Bonito",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501709,"Bragança",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501725,"Brasil Novo",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501758,"Brejo Grande do Araguaia",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501782,"Breu Branco",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501808,"Breves",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501907,"Bujaru",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1501956,"Cachoeira do Piriá",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502004,"Cachoeira do Arari",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502103,"Cametá",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502152,"Canaã dos Carajás",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502202,"Capanema",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502301,"Capitão Poço",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502400,"Castanhal",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502509,"Chaves",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502608,"Colares",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502707,"Conceição do Araguaia",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502756,"Concórdia do Pará",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502764,"Cumaru do Norte",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502772,"Curionópolis",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502806,"Curralinho",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502855,"Curuá",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502905,"Curuçá",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502939,"Dom Eliseu",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1502954,"Eldorado do Carajás",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503044,"Floresta do Araguaia",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503077,"Garrafão do Norte",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503101,"Gurupá",2.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503200,"Igarapé-Açu",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503309,"Igarapé-Miri",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503408,"Inhangapi",2.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503457,"Ipixuna do Pará",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503507,"Irituia",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503606,"Itaituba",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503705,"Itupiranga",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503804,"Jacundá",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1503903,"Juruti",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504000,"Limoeiro do Ajuru",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504059,"Mãe do Rio",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504208,"Marabá",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504307,"Maracanã",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504406,"Marapanim",2.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504422,"Marituba",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504455,"Medicilândia",4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504604,"Mocajuba",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504703,"Moju",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1504802,"Monte Alegre",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505007,"Nova Timboteua",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505064,"Novo Repartimento",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505106,"Óbidos",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505304,"Oriximiná",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505403,"Ourém",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505437,"Ourilândia do Norte",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505486,"Pacajá",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505502,"Paragominas",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505536,"Parauapebas",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505601,"Peixe-Boi",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505635,"Piçarra",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505650,"Placas",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505700,"Ponta de Pedras",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505809,"Portel",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1505908,"Porto de Moz",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506005,"Prainha",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506112,"Quatipuru",2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506138,"Redenção",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506195,"Rurópolis",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506203,"Salinópolis",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506302,"Salvaterra",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506351,"Santa Bárbara do Pará",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506401,"Santa Cruz do Arari",2.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506500,"Santa Izabel do Pará",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506609,"Santa Maria do Pará",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506708,"Santana do Araguaia",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506807,"Santarém",3.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1506906,"Santarém Novo",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507003,"Santo Antônio do Tauá",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507102,"São Caetano de Odivelas",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507151,"São Domingos do Araguaia",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507201,"São Domingos do Capim",2.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507300,"São Félix do Xingu",2.2
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507458,"São Geraldo do Araguaia",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507466,"São João da Ponta",2.6
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507607,"São Miguel do Guamá",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507755,"Sapucaia",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507805,"Senador José Porfírio",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507904,"Soure",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507953,"Tailândia",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1507961,"Terra Alta",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508001,"Tomé-Açu",2.8
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508035,"Tracuateua",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508050,"Trairão",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508084,"Tucumã",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508100,"Tucuruí",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508126,"Ulianópolis",3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508159,"Uruará",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508209,"Vigia",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508308,"Viseu",2.3
"Educação","TX_INEP_IDEB_EM_MUN","Pará",1508407,"Xinguara",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600154,"Pedra Branca do Amapari",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600204,"Calçoene",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600212,"Cutias",2.9
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600279,"Laranjal do Jari",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600303,"Macapá",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600501,"Oiapoque",3
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600535,"Porto Grande",3.2
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600550,"Pracuúba",2.2
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600600,"Santana",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600709,"Tartarugalzinho",2.5
"Educação","TX_INEP_IDEB_EM_MUN","Amapá",1600808,"Vitória do Jari",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1700251,"Abreulândia",4.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1700301,"Aguiarnópolis",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1700350,"Aliança do Tocantins",5
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1700400,"Almas",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1701002,"Ananás",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1701051,"Angico",3.9
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1701101,"Aparecida do Rio Negro",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1701903,"Araguacema",3.5
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702000,"Araguaçu",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702109,"Araguaína",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702158,"Araguanã",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702208,"Araguatins",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702406,"Arraias",3.8
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702554,"Augustinópolis",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1702703,"Aurora do Tocantins",3.9
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703008,"Babaçulândia",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703057,"Bandeirantes do Tocantins",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703073,"Barra do Ouro",3.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703107,"Barrolândia",3.4
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703305,"Bom Jesus do Tocantins",3.7
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703701,"Brejinho de Nazaré",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703800,"Buriti do Tocantins",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703867,"Cariri do Tocantins",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703883,"Carmolândia",3.9
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1703891,"Carrasco Bonito",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1705102,"Chapada da Natividade",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1705508,"Colinas do Tocantins",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1705557,"Combinado",3.9
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1705607,"Conceição do Tocantins",3.3
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1706100,"Cristalândia",4.8
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1706258,"Crixás do Tocantins",4
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1706506,"Darcinópolis",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707009,"Dianópolis",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707207,"Dois Irmãos do Tocantins",4.1
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707306,"Dueré",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707405,"Esperantina",3.6
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707553,"Fátima",4.4
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707652,"Figueirópolis",4.2
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1707702,"Filadélfia",2.7
"Educação","TX_INEP_IDEB_EM_MUN","Tocantins",1708205,"Formoso do Araguaia",3.9
